sku,total_sales,post_type
16159,18.0,product
15859,0.0,product
15073,0.0,product
16022,0.0,product
15674,0.0,product
13958,0.0,product
15360,2.0,product
15775,0.0,product
14797,0.0,product
15783,0.0,product
14596,0.0,product
11996,0.0,product
15683,12.0,product
804,3.0,product
14809,5.0,product
14089,0.0,product
13809,4.0,product
16135,5.0,product
15403,0.0,product
16004,5.0,product
16146,3.0,product
15707,0.0,product
14000,2.0,product
15201,1.0,product
15583,0.0,product
15774,1.0,product
15767,1.0,product
14692,0.0,product
15731,3.0,product
16186,7.0,product
15434,0.0,product
16154,4.0,product
12315,1.0,product
15127,0.0,product
14725,1.0,product
8365,0.0,product
15812,11.0,product
12365,1.0,product
14828,0.0,product
14581,0.0,product
14700,8.0,product
11585,1.0,product
15138,0.0,product
13515,0.0,product
15927,2.0,product
15795,0.0,product
16063,1.0,product
16094,0.0,product
14899,3.0,product
15554,2.0,product
15861,1.0,product
15922,0.0,product
14092,0.0,product
14561,0.0,product
16497,13.0,product
15675,1.0,product
15839,4.0,product
15690,0.0,product
14220,5.0,product
798,0.0,product
15475,0.0,product
15452,15.0,product
13814,0.0,product
13765,0.0,product
15793,1.0,product
13117,4.0,product
13766,0.0,product
11849,0.0,product
14461,0.0,product
15706,0.0,product
16096,0.0,product
19821,0.0,product
11587,0.0,product
14905,0.0,product
15328,3.0,product
16306,1.0,product
12657,0.0,product
13557,10.0,product
16326,0.0,product
15930,2.0,product
15766,0.0,product
16120,4.0,product
13379,0.0,product
13572,3.0,product
15582,0.0,product
16029,10.0,product
16010,0.0,product
14184,0.0,product
13172,0.0,product
7818,96.0,product
15834,2.0,product
304,40.0,product
14323,0.0,product
14253,0.0,product
8344,18.0,product
15755,1.0,product
15369,9.0,product
15781,1.0,product
8463,0.0,product
12640,1.0,product
13072,4.0,product
12586,0.0,product
15967,20.0,product
15849,9.0,product
16129,3.0,product
16296,0.0,product
16515,6.0,product
16024,16.0,product
15413,12.0,product
812,0.0,product
14149,0.0,product
12194,0.0,product
11862,0.0,product
16152,0.0,product
15373,7.0,product
16319,3.0,product
531,13.0,product
15072,0.0,product
15864,1.0,product
15748,3.0,product
12790,0.0,product
12639,0.0,product
15869,0.0,product
15163,1.0,product
15614,0.0,product
13517,0.0,product
11933,1.0,product
15539,0.0,product
15848,1.0,product
15126,0.0,product
14429,0.0,product
15471,4.0,product
14746,12.0,product
16121,5.0,product
3509,1.0,product
15300,0.0,product
19816,10.0,product
15080,0.0,product
12476,0.0,product
9636,0.0,product
791,0.0,product
15256,0.0,product
15481,0.0,product
15732,0.0,product
15829,15.0,product
15613,2.0,product
15238,1.0,product
15404,2.0,product
14800,0.0,product
16265,8.0,product
14768,0.0,product
13127,23.0,product
16047,12.0,product
14474,1.0,product
15346,16.0,product
15530,10.0,product
15662,1.0,product
16330,0.0,product
9562,0.0,product
13313,0.0,product
16062,9.0,product
14774,0.0,product
15875,11.0,product
15850,6.0,product
13647,0.0,product
16072,0.0,product
14101,0.0,product
13412,0.0,product
15036,0.0,product
15402,0.0,product
15489,0.0,product
15951,0.0,product
15490,19.0,product
15337,2.0,product
14507,0.0,product
16529,8.0,product
15035,0.0,product
15741,2.0,product
16147,4.0,product
15466,13.0,product
15773,5.0,product
16014,0.0,product
15717,2.0,product
11467,0.0,product
16034,3.0,product
14265,1.0,product
16039,18.0,product
10014,0.0,product
7819,0.0,product
16449,6.0,product
15283,0.0,product
15668,3.0,product
15482,3.0,product
16213,8.0,product
15729,2.0,product
15155,1.0,product
16501,1.0,product
15480,0.0,product
15179,0.0,product
15769,0.0,product
15714,1.0,product
15429,7.0,product
12045,1.0,product
14509,0.0,product
15730,0.0,product
15605,5.0,product
1366,1.0,product
12585,12.0,product
15303,0.0,product
14527,0.0,product
15476,23.0,product
11277,0.0,product
16280,0.0,product
14599,0.0,product
15677,0.0,product
15856,0.0,product
15095,0.0,product
15184,0.0,product
11847,0.0,product
16046,0.0,product
14819,0.0,product
15786,4.0,product
14300,18.0,product
15747,3.0,product
16030,6.0,product
14756,4.0,product
15871,2.0,product
13604,0.0,product
16276,0.0,product
15125,0.0,product
15660,1.0,product
16328,0.0,product
14773,0.0,product
14573,0.0,product
15745,0.0,product
15966,3.0,product
13982,0.0,product
14647,0.0,product
15949,1.0,product
15022,0.0,product
3383,0.0,product
14469,0.0,product
15734,0.0,product
12589,11.0,product
16190,1.0,product
16289,22.0,product
14600,0.0,product
15746,0.0,product
13662,3.0,product
16416,62.0,product
16131,3.0,product
15810,0.0,product
15026,19.0,product
16023,5.0,product
19820,0.0,product
15688,0.0,product
16513,15.0,product
11641,30.0,product
38,38.0,product
14451,3.0,product
9937,4.0,product
14141,1.0,product
15140,12.0,product
16149,33.0,product
12203,0.0,product
13853,1.0,product
11225,0.0,product
11669,0.0,product
13453,20.0,product
13754,0.0,product
19822,0.0,product
13905,1.0,product
15779,0.0,product
6616,0.0,product
15577,0.0,product
15341,6.0,product
15612,6.0,product
11997,0.0,product
15149,1.0,product
15227,0.0,product
15659,7.0,product
16133,1.0,product
16045,6.0,product
14983,3.0,product
16180,18.0,product
16560,9.0,product
15342,1.0,product
15764,0.0,product
15862,1.0,product
16323,1.0,product
16580,41.0,product
15307,29.0,product
15146,0.0,product
15704,0.0,product
14729,0.0,product
805,4.0,product
14923,2.0,product
15134,0.0,product
15324,6.0,product
14980,3.0,product
16255,4.0,product
13520,0.0,product
14751,0.0,product
15564,0.0,product
3507,2.0,product
16119,1.0,product
15161,0.0,product
13627,2.0,product
14626,0.0,product
14736,1.0,product
15923,0.0,product
16003,1.0,product
15881,0.0,product
13965,0.0,product
15656,0.0,product
16462,7.0,product
15879,3.0,product
8193,3.0,product
16275,7.0,product
15792,0.0,product
16044,7.0,product
16567,0.0,product
14981,0.0,product
16041,14.0,product
13659,0.0,product
15240,0.0,product
16504,5.0,product
14680,6.0,product
15758,12.0,product
12339,4.0,product
15705,3.0,product
15953,19.0,product
13762,0.0,product
15945,1.0,product
15351,2.0,product
15116,5.0,product
15375,0.0,product
16292,11.0,product
15229,0.0,product
13052,0.0,product
15667,1.0,product
16031,6.0,product
15801,0.0,product
16056,7.0,product
12494,0.0,product
12496,0.0,product
16132,0.0,product
15654,0.0,product
16192,0.0,product
15811,3.0,product
15440,0.0,product
15710,0.0,product
14696,0.0,product
15740,0.0,product
1360,0.0,product
15770,5.0,product
15349,32.0,product
15863,2.0,product
15432,5.0,product
15678,0.0,product
14827,7.0,product
16283,4.0,product
15296,0.0,product
15399,0.0,product
16273,5.0,product
13599,1.0,product
12881,2.0,product
15566,11.0,product
15465,7.0,product
13514,0.0,product
15807,36.0,product
16124,6.0,product
15575,6.0,product
7032,0.0,product
13078,0.0,product
14569,3.0,product
16068,1.0,product
16138,1.0,product
14699,8.0,product
16269,2.0,product
15353,2.0,product
15162,4.0,product
14712,0.0,product
15763,1.0,product
13416,0.0,product
15461,1.0,product
41,0.0,product
14374,0.0,product
15180,1.0,product
16011,0.0,product
1662,87.0,product
14845,2.0,product
14657,3.0,product
16247,0.0,product
15940,5.0,product
15576,0.0,product
16281,0.0,product
16069,0.0,product
15785,3.0,product
15784,12.0,product
16211,13.0,product
16038,6.0,product
15857,0.0,product
14977,0.0,product
15120,0.0,product
13460,0.0,product
15345,0.0,product
14090,7.0,product
16155,5.0,product
15033,12.0,product
15106,11.0,product
15787,6.0,product
15715,0.0,product
10814,0.0,product
15343,17.0,product
15456,0.0,product
15759,4.0,product
16472,0.0,product
15664,0.0,product
16037,0.0,product
16277,12.0,product
15316,2.0,product
14676,0.0,product
2361,1.0,product
15457,0.0,product
13516,0.0,product
16307,1.0,product
15808,3.0,product
15776,0.0,product
16097,1.0,product
16498,9.0,product
16065,1.0,product
15531,6.0,product
15941,4.0,product
10459,0.0,product
16320,3.0,product
15663,3.0,product
15910,0.0,product
